service_id,date,exception_type,exception_note,schedule_type
65061-0000001-0,20170611,1,FINAL,SU
65083-0000001-0,20170611,1,FINAL,SU
6508325-0000001-25,20170611,1,FINAL,SU
65149-0000001-0,20170611,1,PRODUCTION,SU
65136-0000001-0,20170611,1,Schedule #106,SU
65078-1111100-0,20170612,1,FINAL,WD
65077-1111100-0,20170612,1,FINAL,WD
65059-1111100-0,20170612,1,FINAL,WD
65081-1111100-0,20170612,1,FINAL,WD
6508125-1111100-25,20170612,1,FINAL,WD
65062-1111100-0,20170612,1,FINAL,WD
65084-1111100-0,20170612,1,FINAL,WD
650847-1111100-7,20170612,1,FINAL,WD
65147-1111100-0,20170612,1,PRODUCTION,WD
65134-1111100-0,20170612,1,Schedule #106,WD
65078-1111100-0,20170613,1,FINAL,WD
65077-1111100-0,20170613,1,FINAL,WD
65059-1111100-0,20170613,1,FINAL,WD
65081-1111100-0,20170613,1,FINAL,WD
6508125-1111100-25,20170613,1,FINAL,WD
65062-1111100-0,20170613,1,FINAL,WD
65084-1111100-0,20170613,1,FINAL,WD
65147-1111100-0,20170613,1,PRODUCTION,WD
65134-1111100-0,20170613,1,Schedule #106,WD
65078-1111100-0,20170614,1,FINAL,WD
65077-1111100-0,20170614,1,FINAL,WD
65059-1111100-0,20170614,1,FINAL,WD
65081-1111100-0,20170614,1,FINAL,WD
6508125-1111100-25,20170614,1,FINAL,WD
65062-1111100-0,20170614,1,FINAL,WD
65084-1111100-0,20170614,1,FINAL,WD
65147-1111100-0,20170614,1,PRODUCTION,WD
65134-1111100-0,20170614,1,Schedule #106,WD
65078-1111100-0,20170615,1,FINAL,WD
65077-1111100-0,20170615,1,FINAL,WD
65059-1111100-0,20170615,1,FINAL,WD
65081-1111100-0,20170615,1,FINAL,WD
6508125-1111100-25,20170615,1,FINAL,WD
65062-1111100-0,20170615,1,FINAL,WD
65084-1111100-0,20170615,1,FINAL,WD
6508411-1111100-11,20170615,1,FINAL,WD
65147-1111100-0,20170615,1,PRODUCTION,WD
65134-1111100-0,20170615,1,Schedule #106,WD
65078-1111100-0,20170616,1,FINAL,WD
65077-1111100-0,20170616,1,FINAL,WD
65059-1111100-0,20170616,1,FINAL,WD
65081-1111100-0,20170616,1,FINAL,WD
6508125-0000100-25,20170616,1,FINAL,WD
6508125-1111100-25,20170616,1,FINAL,WD
65062-1111100-0,20170616,1,FINAL,WD
65084-1111100-0,20170616,1,FINAL,WD
650847-1111100-7,20170616,1,FINAL,WD
650849-1111100-9,20170616,1,FINAL,WD
65147-1111100-0,20170616,1,PRODUCTION,WD
65134-1111100-0,20170616,1,Schedule #106,WD
65079-0000010-0,20170617,1,FINAL,SA
65060-0000010-0,20170617,1,FINAL,SA
65082-0000010-0,20170617,1,FINAL,SA
6508225-0000010-25,20170617,1,FINAL,SA
65148-0000010-0,20170617,1,PRODUCTION,SA
65135-0000010-0,20170617,1,Schedule #106,SA
65061-0000001-0,20170618,1,FINAL,SU
65083-0000001-0,20170618,1,FINAL,SU
6508325-0000001-25,20170618,1,FINAL,SU
65149-0000001-0,20170618,1,PRODUCTION,SU
65136-0000001-0,20170618,1,Schedule #106,SU
65078-1111100-0,20170619,1,FINAL,WD
65077-1111100-0,20170619,1,FINAL,WD
65059-1111100-0,20170619,1,FINAL,WD
65081-1111100-0,20170619,1,FINAL,WD
6508125-1111100-25,20170619,1,FINAL,WD
65062-1111100-0,20170619,1,FINAL,WD
65084-1111100-0,20170619,1,FINAL,WD
650847-1111100-7,20170619,1,FINAL,WD
65147-1111100-0,20170619,1,PRODUCTION,WD
65134-1111100-0,20170619,1,Schedule #106,WD
65078-1111100-0,20170620,1,FINAL,WD
65077-1111100-0,20170620,1,FINAL,WD
65059-1111100-0,20170620,1,FINAL,WD
65081-1111100-0,20170620,1,FINAL,WD
6508125-1111100-25,20170620,1,FINAL,WD
