trip_id,shape_id
12196807,115_2_71
12196791,115_2_70
12196749,115_2_70
12196771,115_2_70
12196741,115_2_70
12196699,115_2_70
12196727,115_2_70
12196811,115_2_70
12196795,115_2_70
12196753,115_2_70
12196775,115_2_70
12196704,115_2_70
12196742,115_2_70
12196717,115_2_70
12196740,115_2_70
12196799,115_2_70
12196757,115_2_70
12196779,115_2_70
12196732,115_2_70
12196743,115_2_70
12196789,115_2_70
12196767,115_2_70
12196803,115_2_70
12196761,115_2_70
12196783,115_2_70
12196697,115_2_70
12196719,115_2_70
12196765,115_2_70
12196787,115_2_70
12196790,115_3_72
12196748,115_3_69
12196770,115_3_69
12196737,115_3_69
12196730,115_3_69
12196703,115_3_69
12196810,115_3_69
12196794,115_3_69
12196752,115_3_69
12196774,115_3_69
12196729,115_3_69
12196738,115_3_69
12196721,115_3_69
12196726,115_3_69
12196798,115_3_69
12196756,115_3_69
12196778,115_3_69
12196716,115_3_69
12196734,115_3_69
12196805,115_3_69
12196700,115_3_69
12196802,115_3_69
12196760,115_3_69
12196782,115_3_69
12196705,115_3_69
12196712,115_3_69
12196706,115_3_69
12196764,115_3_69
12196786,115_3_69
12196228,815_2_16
12196229,815_2_16
12196230,815_2_16
12196231,815_2_16
12196232,815_2_16
12196233,815_2_16
12196234,815_2_16
12196235,815_2_16
12196236,815_2_16
12196237,815_2_16
12196238,815_2_16
12196239,815_2_16
12196240,815_2_16
12196241,815_2_16
12196242,815_2_16
12196243,815_2_16
12196244,815_2_16
12196245,815_2_16
12196246,815_2_16
12196247,815_2_16
12196248,815_2_16
12196249,815_2_16
12196250,815_2_16
12196251,815_2_16
12196252,815_2_16
12196253,815_2_16
12196254,815_2_16
12196199,815_2_16
12196255,815_3_17
12196200,815_3_17
12196201,815_3_17
12196202,815_3_17
12196203,815_3_17
12196204,815_3_17
12196205,815_3_17
12196206,815_3_17
12196207,815_3_17
12196208,815_3_17
12196209,815_3_17
12196210,815_3_17
12196211,815_3_17
12196212,815_3_17
12196213,815_3_17
12196214,815_3_17
12196215,815_3_17
12196216,815_3_17
12196217,815_3_17
12196218,815_3_17
12196219,815_3_17
12196220,815_3_17
12196221,815_3_17
12196222,815_3_17
12196223,815_3_17
12196224,815_3_17
12196225,815_3_17
12196226,815_3_17
12196227,815_3_17
12196643,816_2_20
12196662,816_2_20
12196681,816_2_20
12196645,816_2_20
12196664,816_2_20
12196683,816_2_20
12196647,816_2_20
12196666,816_2_20
12196685,816_2_20
12196649,816_2_20
12196668,816_2_20
12196687,816_2_20
12196651,816_2_20
12196670,816_2_20
12196689,816_2_20
12196653,816_2_20
12196672,816_2_20
12196691,816_2_20
12196655,816_2_20
12196674,816_2_20
12196298,816_2_20
12196657,816_2_20
12196676,816_2_20
12196263,816_2_20
12196659,816_2_20
12196678,816_2_20
12196262,816_2_20
12196642,816_3_21
12196661,816_3_21
12196680,816_3_21
12196644,816_3_21
12196663,816_3_21
12196682,816_3_21
12196646,816_3_21
12196665,816_3_21
12196684,816_3_21
12196648,816_3_21
12196667,816_3_21
12196686,816_3_21
12196650,816_3_21
12196669,816_3_21
12196688,816_3_21
12196652,816_3_21
12196671,816_3_21
12196690,816_3_21
12196654,816_3_21
12196673,816_3_21
12196551,816_3_21
12196656,816_3_21
12196675,816_3_21
12196548,816_3_21
12196658,816_3_21
12196677,816_3_21
12196261,816_3_21
12196660,816_3_21
12196679,816_3_21
12196470,832_8_6
12196471,832_8_6
12196472,832_8_6
12196473,832_8_6
12196474,832_8_6
12196475,832_8_6
12196476,832_8_6
12196477,832_8_6
12196478,832_8_6
12196479,832_8_6
12196480,832_8_6
12196481,832_8_6
12196482,832_8_6
12196483,832_8_6
12196256,834_9_15
12196257,834_9_15
12196258,834_9_15
12196259,834_9_15
12196739,848_0_41
12196696,848_0_41
12196808,848_0_41
12196792,848_0_41
12196750,848_0_41
12196772,848_0_41
12196695,848_0_41
12196724,848_0_41
12196788,848_0_41
12196812,848_0_41
12196796,848_0_41
12196754,848_0_41
12196776,848_0_41
12196713,848_0_41
12196709,848_0_41
12196728,848_0_41
12196710,848_0_41
12196800,848_0_41
12196758,848_0_41
12196780,848_0_41
12196731,848_0_41
12196715,848_0_41
12196707,848_0_41
12196746,848_0_41
12196804,848_0_41
12196762,848_0_41
12196784,848_0_41
12196698,848_0_41
12196718,848_0_41
12196766,848_0_41
12196745,848_1_42
12196725,848_1_42
12196747,848_1_42
12196769,848_1_42
12196735,848_1_42
12196736,848_1_42
12196714,848_1_42
12196809,848_1_42
12196793,848_1_42
12196751,848_1_42
12196773,848_1_42
12196720,848_1_42
12196701,848_1_42
12196768,848_1_42
12196813,848_1_42
12196797,848_1_42
12196755,848_1_42
12196777,848_1_42
12196722,848_1_42
12196733,848_1_42
12196806,848_1_42
12196711,848_1_42
12196801,848_1_42
12196759,848_1_42
12196781,848_1_42
12196708,848_1_42
12196702,848_1_42
12196723,848_1_42
12196744,848_1_42
12196763,848_1_42
12196785,848_1_42
12196265,854_0_47
12196297,854_0_48
12196267,854_0_47
12196299,854_0_48
12196301,854_0_48
12196269,854_0_47
12196303,854_0_48
12196305,854_0_48
12196271,854_0_47
12196307,854_0_48
12196309,854_0_48
12196273,854_0_47
12196311,854_0_48
12196313,854_0_48
12196275,854_0_47
12196315,854_0_48
12196317,854_0_48
12196277,854_0_47
12196319,854_0_48
12196321,854_0_48
12196279,854_0_47
12196323,854_0_48
12196325,854_0_48
12196281,854_0_47
12196327,854_0_48
12196329,854_0_48
12196283,854_0_47
12196331,854_0_48
12196333,854_0_48
12196285,854_0_47
12196335,854_0_48
12196337,854_0_48
12196287,854_0_47
12196339,854_0_48
12196341,854_0_48
12196289,854_0_47
12196291,854_0_47
12196293,854_0_47
12196295,854_0_47
12196264,854_1_46
12196266,854_1_46
12196300,854_1_41
12196268,854_1_46
12196302,854_1_41
12196304,854_1_41
12196270,854_1_46
12196306,854_1_41
12196308,854_1_41
12196272,854_1_46
12196310,854_1_41
12196312,854_1_41
12196274,854_1_46
12196314,854_1_41
12196316,854_1_41
12196276,854_1_46
12196318,854_1_41
